Parametric Search Results

Part Number,Data Sheet,MCU,MCU Frequency (MHz),Flash,RAM,Bluetooth Low Energy,Bluetooth 5,Bluetooth 5 2M PHY,Bluetooth 5 LE Long Range,zigbee,Thread,Proprietary Sub-GHz,Proprietary 2.4 GHz,Output Power (dBm),Package Type,Dig I/O,I²C,I²S,SPI,USB,UART,USART,AES-128,AES-256,ECC,SHA-1,SHA-2,Frequency Range,RX Current (mA),Timers (16-bit),ADC 1,DAC,Comparators
"EFR32BG12P132F1024GL125","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 0 ","BGA125","65","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P132F1024GM48","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 0 ","QFN48","31","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F1024GL125","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","BGA125","65","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F1024GM48","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","QFN48","31","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F1024GM68","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","QFN68","46","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F1024IM68","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet.pdf","ARM Cortex-M4","40","1024","128","Yes","Yes","Yes","No","No","No","Yes","Yes","-30<span class="delimiter-to"></span> 10 ","QFN68","46","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F512GM68","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","512","64","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","QFN68","46","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P232F512IM68","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet.pdf","ARM Cortex-M4","40","512","64","Yes","Yes","Yes","No","No","No","Yes","Yes","-30<span class="delimiter-to"></span> 10 ","QFN68","46","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P332F1024GL125","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","256","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","BGA125","65","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
"EFR32BG12P332F1024GM48","https://www.silabs.com/content/dam/siliconlabs/documents/public/data-sheets/efr32bg12-datasheet-jp.pdf","ARM Cortex-M4","40","1024","256","Yes","Yes","Yes","No","No","No","No","Yes","-30<span class="delimiter-to"></span> 10 ","QFN48","31","2","2","4","No","5","4","Yes","Yes","Yes","Yes","Yes","2400<span class="delimiter-to"></span> 2483.5 ","10","9","12-bit, SAR, 1 Msps","VDAC","2",
